stationName,stationLatitude,stationLongitude,station_no,addr1,addr2,x,y
102. 망원역 1번출구 앞,37.5556488,126.9106293,102, 서교동, 마포구,59,126
103. 망원역 2번출구 앞,37.55495071,126.9108353,103, 망원1동, 마포구,59,126
104. 합정역 1번출구 앞,37.55073929,126.9150848,104, 서교동, 마포구,59,126
105. 합정역 5번출구 앞,37.55000687,126.9148254,105, 서교동, 마포구,59,126
106. 합정역 7번출구 앞,37.54864502,126.9128265,106, 합정동, 마포구,59,126
107. 신한은행 서교동지점,37.55751038,126.9185028,107, 서교동, 마포구,59,127
108. 서교동 사거리,37.55274582,126.9186173,108, 서교동, 마포구,59,126
111. 상수역 2번출구 앞,37.54787064,126.9235306,111, 서강동, 마포구,59,126
112. 극동방송국 앞,37.54920197,126.9232025,112, 서강동, 마포구,59,126
113. 홍대입구역 2번출구 앞,37.5574379,126.9238205,113, 서교동, 마포구,59,127
114. 홍대입구역 8번출구 앞,37.55706024,126.9244232,114, 서교동, 마포구,59,126
115. 마스타 빌딩 앞,37.55893326,126.9271164,115, 신촌동, 서대문구,59,127
117. 홍은사거리,37.59115982,126.94133,117, 홍제1동, 서대문구,59,127
118. 광흥창역 2번출구 앞,37.54773331,126.9317627,118, 서강동, 마포구,59,126
119. 서강나루 공원,37.54520798,126.9314652,119, 신수동, 마포구,59,126
120. 신수동 사거리,37.54524231,126.9341126,120, 신수동, 마포구,59,126
121. 마포소방서 앞,37.54976654,126.9331741,121, 신수동, 마포구,59,126
122. 신성기사식당 앞,37.54745865,126.9383774,122, 신수동, 마포구,59,126
123. 문화촌 공원,37.59432983,126.9473877,123, 홍제3동, 서대문구,59,127
124. 서강대 정문 건너편,37.55113983,126.9369888,124, 신수동, 마포구,59,126
126. 서강대 후문 옆,37.55041122,126.9438477,126, 대흥동, 마포구,59,126
127. 현대벤처빌 앞,37.5535202,126.9369507,127, 대흥동, 마포구,59,126
128. 신촌역(2호선) 1번출구 옆,37.55549622,126.9363403,128, 신촌동, 서대문구,59,126
129. 신촌역(2호선) 6번출구 옆,37.55505371,126.9375687,129, 대흥동, 마포구,59,126
130. 신촌역(2호선) 7번출구 앞,37.55485916,126.9361572,130, 서교동, 마포구,59,126
131. 증산2교,37.5841713,126.9111023,131, 북가좌2동, 서대문구,59,127
133. 해담는다리,37.58203125,126.9089966,133, 북가좌2동, 서대문구,59,127
134. 연세로 명물길,37.55789185,126.9380798,134, 신촌동, 서대문구,59,127
